family,d_over_sigma,observed_order
aft,0.25,-0.4568284956786619
aft,0.5,-0.39657860265598827
aft,1.0,-0.3300742704097404
aft,2.0,-0.27896630445450915
aft,4.0,-0.19067251195923057
aft,8.0,0.1131568927101499
aft,16.0,0.5121286628283038
aft,32.0,0.788731606212494
aft,64.0,0.9124824642368131
control,0.25,1.7354928600988124
control,0.5,1.7351580353245435
control,1.0,1.733822386553929
control,2.0,1.728537428834256
control,4.0,1.7082734113034292
control,8.0,1.638825420422348
control,16.0,1.4656296591246076
control,32.0,1.2273728814889593
control,64.0,1.0633880086370389
root,0.25,0.03567988998406969
root,0.5,-0.11914815652225659
root,1.0,-0.20788083424053783
root,2.0,-0.19870712430164555
root,4.0,-0.09428332787939979
root,8.0,0.22252990891558952
root,16.0,0.5973096630123133
root,32.0,0.8236505341336873
root,64.0,0.9190745653002063
tip,0.25,0.2975721356429385
tip,0.5,0.05781636521381944
tip,1.0,-0.10952776531392558
tip,2.0,-0.15339613364424518
tip,4.0,-0.10912540928499796
tip,8.0,0.1887073950662648
tip,16.0,0.5773722846886793
tip,32.0,0.8178836662050615
tip,64.0,0.9184550387689767
