strategy,particle_count,sum_Gamma_x,sum_Gamma_y,sum_Gamma_z,sum_xcrossGamma_x,sum_xcrossGamma_y,sum_xcrossGamma_z,expected_Gamma_x,expected_Gamma_y,expected_Gamma_z
legacy,291,-3.608224830031759e-16,-0.8992280269286922,-0.024091444784965593,8.491339733416708e-5,0.07227433435489677,2.206684766004302,,,
upstream,1224,-5.828670879282072e-16,-2.3708010893539377,-0.021580228464412387,0.08068724422036883,0.06553208649969708,-1.3150000179068975,0.0,-2.370801089353938,-0.02158022846441251
split,1224,-5.828670879282072e-16,-1.635014558141317,-0.022835836624689004,0.04719435808215542,0.06882593421579501,0.6152068928920049,0.0,-1.6350145581413154,-0.022835836624689035

