tag,backend,n_airfoil,n_span,dt_star,panels,solver,CLsteady,wagner_rms,wagner_max,successive_max_absolute,successive_max_relative,successive_relative_l2,elapsed
na21_ns12_dt0p125_direct,direct,21,12,0.125,480,backslash,1.3661845736965261e+05,4.8439748955208228e-01,2.8823517946879837e+00,NaN,NaN,NaN,NaN
na21_ns12_dt0p125_fmm,fmm,21,12,0.125,480,backslash,1.3661845736965389e+05,3.1659421598007154e-01,1.2871658023344754e+00,NaN,NaN,NaN,NaN
na21_ns24_dt0p125_fmm,fmm,21,24,0.125,960,backslash,3.2709010076105810e+03,1.1855235644797995e+00,5.2938901209667097e+00,5.0307192839627737e+00,3.0164979087700838e+00,6.1981390747174325e-01,NaN
na21_ns48_dt0p125_fmm,fmm,21,48,0.125,1920,backslash,1.1311626225021313e+02,2.3178245369003866e-01,5.3911357260280202e-01,5.1302793327847613e+00,5.1675177119799356e+00,1.1216240705696960e+00,NaN
na21_ns96_dt0p125_fmm,fmm,21,96,0.125,3840,backslash,6.9818606293957499e+00,2.0366552053052259e-01,5.7085156846787333e-01,2.4456975347818710e-01,2.4667317604923694e-01,7.1761886298701505e-02,NaN
