i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
11,2112,1921,-0.9178925000000003,2,1,2,1,6625,6721,1.4001750000000002,-0.9023350000000003,1.3809394137023142e-7,1.4312900000000002,-0.9334500000000003,1.3809394137023142e-7,0.10566679538135233,0.10566679538135233,0.9887714886199291,0.10585351879454336,0.10585351879454336,-0.9887315435028998,12,11,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985645,-3.0757752557964837,-1.175283563717717,-1.9004916920787667
12,2304,2113,-0.8867775000000003,2,1,2,1,6529,6625,1.36906,-0.8712200000000003,1.3809394137023142e-7,1.4001750000000002,-0.9023350000000003,1.3809394137023142e-7,0.1056667953813843,0.10566679538138506,0.9887714886199224,0.10585351879454359,0.10585351879454434,-0.9887315435028996,13,12,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985527,-2.625236610913201,-0.6964957141432108,-1.9287408967699902
13,2496,2305,-0.8556625000000003,2,1,2,1,6433,6529,1.3379450000000002,-0.8401050000000003,1.3809394137023142e-7,1.36906,-0.8712200000000003,1.3809394137023142e-7,0.10566679538135235,0.10566679538135158,0.9887714886199294,0.10585351879457564,0.10585351879457486,-0.9887315435028929,14,13,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985625,-2.1439743352679086,-0.19239340808385336,-1.9515809271840552
14,2688,2497,-0.8245475000000002,2,1,2,1,6337,6433,1.30683,-0.8089900000000002,1.3809394137023142e-7,1.3379450000000002,-0.8401050000000003,1.3809394137023142e-7,0.10566679538138417,0.10566679538138454,0.9887714886199224,0.10585351879454345,0.10585351879454383,-0.9887315435028997,15,14,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966951607698553,-1.6410690000518435,0.3287710771884074,-1.969840077240251
15,2880,2689,-0.7934325000000002,2,1,2,1,6241,6337,1.2757150000000002,-0.7778750000000002,1.3809394137023142e-7,1.30683,-0.8089900000000002,1.3809394137023142e-7,0.10566679538135235,0.10566679538135158,0.9887714886199294,0.10585351879457564,0.10585351879457486,-0.9887315435028929,16,15,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985625,-1.1229289169002092,0.861277402968194,-1.9842063198684032
16,3072,2881,-0.7623175000000002,2,1,2,1,6145,6241,1.2446,-0.7467600000000002,1.3809394137023142e-7,1.2757150000000002,-0.7778750000000002,1.3809394137023142e-7,0.10566679538136818,0.10566679538136893,0.9887714886199257,0.10585351879454359,0.10585351879454434,-0.9887315435028996,17,16,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985585,-0.593955591513564,1.4012963594141559,-1.9952519509277198
17,3264,3073,-0.7312025000000002,2,1,2,1,6049,6145,1.2134850000000001,-0.7156450000000002,1.3809394137023142e-7,1.2446,-0.7467600000000002,1.3809394137023142e-7,0.10566679538135235,0.10566679538135158,0.9887714886199294,0.10585351879455948,0.10585351879455872,-0.9887315435028963,18,17,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985636,-0.057115664152598083,1.9463350622879516,-2.00345072644055
18,3456,3265,-0.7000875000000002,2,1,2,1,5953,6049,1.18237,-0.6845300000000002,1.3809394137023142e-7,1.2134850000000001,-0.7156450000000002,1.3809394137023142e-7,0.10566679538136818,0.10566679538136893,0.9887714886199257,0.10585351879454359,0.10585351879454434,-0.9887315435028996,19,18,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985585,0.48561547946383254,2.4948073805685556,-2.009191901104723
19,3648,3457,-0.6689725000000002,2,1,2,1,5857,5953,1.151255,-0.6534150000000001,1.3809394137023142e-7,1.18237,-0.6845300000000002,1.3809394137023142e-7,0.10566679538135221,0.10566679538135183,0.9887714886199294,0.10585351879455936,0.10585351879455897,-0.9887315435028964,20,19,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985634,1.0329313289135071,3.0457240561012644,-2.0127927271877573
20,3840,3649,-0.6378575000000001,2,1,2,1,5761,5857,1.12014,-0.6223000000000001,1.3809394137023142e-7,1.151255,-0.6534150000000001,1.3809394137023142e-7,0.10566679538136843,0.10566679538136843,0.9887714886199257,0.10585351879454336,0.10585351879454336,-0.9887315435028998,21,20,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985587,1.5839697742089276,3.5984794798976676,-2.0145097056887398
