i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
1,288,1,-1.2290425000000005,2,1,2,1,11377,11521,1.7113250000000002,-1.2134850000000006,1.3809394137023142e-7,1.74244,-1.2446000000000004,1.3809394137023142e-7,0.10557914028150438,0.10557914028150438,0.9887902155031859,0.10585923302011152,0.10585923302011152,-0.988730319940067,2,1,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545854,-1.8059280910991384,-1.112837748504229,-0.6930903425949095
2,576,289,-1.1979275000000005,2,1,2,1,11233,11377,1.6802100000000002,-1.1823700000000006,1.3809394137023142e-7,1.7113250000000002,-1.2134850000000006,1.3809394137023142e-7,0.10557914028150514,0.10557914028150514,0.9887902155031858,0.10585923302008692,0.10585923302008692,-0.9887303199400723,3,2,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966982657254587,-2.7848214582660806,-1.7462691591270336,-1.038552299139047
3,864,577,-1.1668125000000007,2,1,2,1,11089,11233,1.6490950000000002,-1.1512550000000006,1.3809394137023142e-7,1.6802100000000002,-1.1823700000000006,1.3809394137023142e-7,0.10557914028150514,0.10557914028150514,0.9887902155031858,0.10585923302008692,0.10585923302008692,-0.9887303199400723,4,3,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966982657254587,-3.4781343182398827,-2.2123070137060097,-1.265827304533873
4,1152,865,-1.1356975000000005,2,1,2,1,10945,11089,1.6179800000000002,-1.1201400000000006,1.3809394137023142e-7,1.6490950000000002,-1.1512550000000006,1.3809394137023142e-7,0.10557914028148098,0.10557914028148098,0.9887902155031909,0.10585923302008692,0.10585923302008692,-0.9887303199400723,5,4,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545954,-3.946887712593529,-2.5152540630524474,-1.4316336495410815
5,1440,1153,-1.1045825000000007,2,1,2,1,10801,10945,1.586865,-1.0890250000000006,1.3809394137023142e-7,1.6179800000000002,-1.1201400000000006,1.3809394137023142e-7,0.1055791402815289,0.10557914028152965,0.9887902155031806,0.10585923302006307,0.10585923302006382,-0.9887303199400773,6,5,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545794,-4.218490077846205,-2.659602227736746,-1.5588878501094592
6,1728,1441,-1.0734675000000005,2,1,2,1,10657,10801,1.5557500000000002,-1.0579100000000006,1.3809394137023142e-7,1.586865,-1.0890250000000006,1.3809394137023142e-7,0.105579140281481,0.10557914028148023,0.988790215503191,0.10585923302011115,0.10585923302011038,-0.9887303199400673,7,6,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966982657254594,-4.315233170884574,-2.6559033235990888,-1.6593298472854854
7,2016,1729,-1.0423525000000005,2,1,2,1,10513,10657,1.524635,-1.0267950000000003,1.3809394137023142e-7,1.5557500000000002,-1.0579100000000006,1.3809394137023142e-7,0.10557914028152889,0.10557914028152889,0.9887902155031807,0.10585923302006306,0.10585923302006306,-0.9887303199400774,8,7,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545799,-4.259940623738773,-2.520006697699319,-1.7399339260394537
8,2304,2017,-1.0112375000000005,2,1,2,1,10369,10513,1.4935200000000002,-0.9956800000000005,1.3809394137023142e-7,1.524635,-1.0267950000000003,1.3809394137023142e-7,0.10557914028148062,0.10557914028148023,0.988790215503191,0.10585923302011152,0.10585923302011115,-0.9887303199400672,9,8,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545943,-4.076727945432828,-2.2714663934190487,-1.8052615520137794
9,2592,2305,-0.9801225000000005,2,1,2,1,10225,10369,1.462405,-0.9645650000000003,1.3809394137023142e-7,1.4935200000000002,-0.9956800000000005,1.3809394137023142e-7,0.10557914028152851,0.10557914028152889,0.9887902155031807,0.10585923302006307,0.10585923302006343,-0.9887303199400774,10,9,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545799,-3.7899455328613234,-1.9314560586541853,-1.858489474207138
10,2880,2593,-0.9490075000000003,2,1,2,1,10081,10225,1.4312900000000002,-0.9334500000000003,1.3809394137023142e-7,1.462405,-0.9645650000000003,1.3809394137023142e-7,0.105579140281481,0.10557914028148023,0.988790215503191,0.10585923302011115,0.10585923302011038,-0.9887303199400673,11,10,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966982657254594,-3.422532436767162,-1.5206028659579487,-1.9019295708092132
11,3168,2881,-0.9178925000000003,2,1,2,1,9937,10081,1.4001750000000002,-0.9023350000000003,1.3809394137023142e-7,1.4312900000000002,-0.9334500000000003,1.3809394137023142e-7,0.10557914028148098,0.10557914028148098,0.9887902155031909,0.10585923302006309,0.10585923302006309,-0.9887303199400774,12,11,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545972,-2.9945795753694284,-1.0572534361420058,-1.9373261392274226
