i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
1,48,49,-1.2290424999999998,3,2,3,2,49,1,1.7113249999999995,-1.213485,1.3809394137023142e-7,1.7424399999999995,-1.2446,1.3809394137023142e-7,0.10574383981702393,0.10574383981702393,0.9887550155025779,0.1058371995110385,0.1058371995110385,-0.9887350375097067,2,1,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690377,-1.5392078329642656,-0.8114418919984224,-0.7277659409658431
2,144,145,-1.1979275,3,2,3,2,97,49,1.6802099999999995,-1.18237,1.3809394137023142e-7,1.7113249999999995,-1.213485,1.3809394137023142e-7,0.1057438398170159,0.1057438398170159,0.9887550155025797,0.10583719951104653,0.10583719951104653,-0.9887350375097049,3,2,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690401,-2.559650385301228,-1.4412826229324736,-1.1183677623687542
3,240,241,-1.1668124999999998,3,2,3,2,145,97,1.6490949999999995,-1.151255,1.3809394137023142e-7,1.6802099999999995,-1.18237,1.3809394137023142e-7,0.10574383981702393,0.10574383981702393,0.9887550155025779,0.10583719951104653,0.10583719951104653,-0.9887350375097049,4,3,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966925058969037,-3.3278022614148832,-1.938653964258951,-1.3891482971559321
4,336,337,-1.1356975,3,2,3,2,193,145,1.6179799999999998,-1.12014,1.3809394137023142e-7,1.6490949999999995,-1.151255,1.3809394137023142e-7,0.10574383981702393,0.10574383981702318,0.9887550155025779,0.10583719951103046,0.1058371995110297,-0.9887350375097085,5,4,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690384,-3.8862798511919854,-2.290038131162271,-1.5962417200297145
5,432,433,-1.1045824999999998,3,2,3,2,241,193,1.5868649999999995,-1.089025,1.3809394137023142e-7,1.6179799999999998,-1.12014,1.3809394137023142e-7,0.10574383981700786,0.1057438398170086,0.9887550155025813,0.10583719951104653,0.10583719951104728,-0.9887350375097049,6,5,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690424,-4.257738748647834,-2.4969115650998708,-1.7608271835479634
6,528,529,-1.0734675,3,2,3,2,289,241,1.5557499999999997,-1.05791,1.3809394137023142e-7,1.5868649999999995,-1.089025,1.3809394137023142e-7,0.10574383981702393,0.10574383981702318,0.9887550155025779,0.10583719951103046,0.1058371995110297,-0.9887350375097085,7,6,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690384,-4.462546170774702,-2.569023090003627,-1.8935230807710748
7,624,625,-1.0423524999999998,3,2,3,2,337,289,1.5246349999999995,-1.026795,1.3809394137023142e-7,1.5557499999999997,-1.05791,1.3809394137023142e-7,0.10574383981700786,0.1057438398170086,0.9887550155025813,0.10583719951104653,0.10583719951104728,-0.9887350375097049,8,7,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690424,-4.52234231260659,-2.5215098836909817,-2.000832428915608
8,720,721,-1.0112375,3,2,3,2,385,337,1.4935199999999995,-0.99568,1.3809394137023142e-7,1.5246349999999995,-1.026795,1.3809394137023142e-7,0.10574383981702391,0.10574383981702429,0.9887550155025779,0.10583719951104653,0.10583719951104692,-0.988735037509705,9,8,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966925058969037,-4.460166426021978,-2.3727887193278425,-2.0873777066941352
9,816,817,-0.9801225,3,2,3,2,433,385,1.4624049999999997,-0.964565,1.3809394137023142e-7,1.4935199999999995,-0.99568,1.3809394137023142e-7,0.10574383981702393,0.10574383981702318,0.9887550155025779,0.10583719951103851,0.10583719951103776,-0.9887350375097069,10,9,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690377,-4.2992265826101566,-2.142411620557501,-2.1568149620526555
10,912,913,-0.9490075,3,2,3,2,481,433,1.4312899999999995,-0.9334499999999999,1.3809394137023142e-7,1.4624049999999997,-0.964565,1.3809394137023142e-7,0.10574383981701588,0.10574383981701625,0.9887550155025796,0.10583719951104653,0.1058371995110469,-0.988735037509705,11,10,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.96692505896904,-4.061230918932441,-1.8490216606902095,-2.2122092582422317
11,1008,1009,-0.9178925,3,2,3,2,529,481,1.400175,-0.9023350000000001,1.3809394137023142e-7,1.4312899999999995,-0.9334499999999999,1.3809394137023142e-7,0.10574383981702393,0.10574383981702316,0.988755015502578,0.10583719951103852,0.10583719951103777,-0.9887350375097069,12,11,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690381,-3.7649859537548114,-1.5088206655901584,-2.2561652881646532
12,1104,1105,-0.8867775,3,2,3,2,577,529,1.3690599999999997,-0.8712199999999999,1.3809394137023142e-7,1.400175,-0.9023350000000001,1.3809394137023142e-7,0.10574383981701589,0.10574383981701589,0.9887550155025796,0.1058371995110385,0.1058371995110385,-0.9887350375097068,13,12,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690406,-3.425668068019705,-1.134804280241629,-2.290863787778076
13,1200,1201,-0.8556625,3,2,3,2,625,577,1.337945,-0.840105,1.3809394137023142e-7,1.3690599999999997,-0.8712199999999999,1.3809394137023142e-7,0.1057438398170159,0.10574383981701553,0.9887550155025798,0.10583719951103047,0.10583719951103007,-0.9887350375097086,14,13,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690412,-3.054800336810241,-0.7367167290257072,-2.318083607784534
14,1296,1297,-0.8245475,3,2,3,2,673,625,1.3068299999999997,-0.8089899999999999,1.3809394137023142e-7,1.337945,-0.840105,1.3809394137023142e-7,0.10574383981700787,0.10574383981700824,0.9887550155025814,0.1058371995110385,0.10583719951103887,-0.9887350375097068,15,14,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690435,-2.6607130664993948,-0.3214736405042187,-2.339239425995176
15,1392,1393,-0.7934325,3,2,3,2,721,673,1.2757149999999997,-0.777875,1.3809394137023142e-7,1.3068299999999997,-0.8089899999999999,1.3809394137023142e-7,0.10574383981701589,0.10574383981701627,0.9887550155025796,0.10583719951103848,0.10583719951103887,-0.9887350375097067,16,15,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690404,-2.2492085262230126,0.10622653662012575,-2.355435062843138
16,1488,1489,-0.7623174999999999,3,2,3,2,769,721,1.2445999999999997,-0.7467599999999998,1.3809394137023142e-7,1.2757149999999997,-0.777875,1.3809394137023142e-7,0.1057438398170159,0.10574383981701516,0.9887550155025798,0.10583719951103852,0.10583719951103776,-0.9887350375097069,17,16,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966925058969041,-1.8242225971869432,0.5432992530292863,-2.3675218502162294
17,1584,1585,-0.7312024999999998,3,2,3,2,817,769,1.2134849999999997,-0.7156449999999999,1.3809394137023142e-7,1.2445999999999997,-0.7467599999999998,1.3809394137023142e-7,0.10574383981701589,0.10574383981701627,0.9887550155025796,0.10583719951103848,0.10583719951103887,-0.9887350375097067,18,17,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669250589690404,-1.3883791173447402,0.987773625083857,-2.376152742428597
18,1680,1681,-0.7000874999999998,3,2,3,2,865,817,1.1823699999999997,-0.6845299999999997,1.3809394137023142e-7,1.2134849999999997,-0.7156449999999999,1.3809394137023142e-7,0.10574383981701589,0.10574383981701552,0.9887550155025797,0.10583719951103047,0.10583719951103007,-0.9887350375097085,19,18,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966925058969041,-0.9434097059065978,1.438417833607097,-2.3818275395136945
