i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
1,144,145,-1.2290424999999998,3,2,3,2,145,1,1.7113249999999995,-1.213485,1.3809394137023142e-7,1.7424399999999995,-1.2446,1.3809394137023142e-7,0.10557914028150468,0.10557914028150468,0.9887902155031858,0.10585923302008723,0.10585923302008723,-0.9887303199400723,2,1,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966982657254587,-1.7117090178403682,-0.9759824251809862,-0.735726592659382
2,432,433,-1.1979275,3,2,3,2,289,145,1.6802099999999995,-1.18237,1.3809394137023142e-7,1.7113249999999995,-1.213485,1.3809394137023142e-7,0.10557914028150468,0.10557914028150468,0.9887902155031858,0.10585923302008723,0.10585923302008723,-0.9887303199400723,3,2,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966982657254587,-2.7195267101262406,-1.6110892524471632,-1.1084374576790774
3,720,721,-1.1668124999999998,3,2,3,2,433,289,1.6490949999999995,-1.151255,1.3809394137023142e-7,1.6802099999999995,-1.18237,1.3809394137023142e-7,0.10557914028150468,0.10557914028150468,0.9887902155031858,0.10585923302011134,0.10585923302011134,-0.9887303199400671,4,3,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545854,-3.442525215135067,-2.080008178472987,-1.36251703666208
4,1008,1009,-1.1356975,3,2,3,2,577,433,1.6179799999999998,-1.12014,1.3809394137023142e-7,1.6490949999999995,-1.151255,1.3809394137023142e-7,0.10557914028152875,0.105579140281528,0.9887902155031809,0.10585923302006313,0.10585923302006237,-0.9887303199400775,5,4,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.96698265725458,-3.9388545446474463,-2.3849717853001766,-1.5538827593472697
5,1296,1297,-1.1045824999999998,3,2,3,2,721,577,1.5868649999999995,-1.089025,1.3809394137023142e-7,1.6179799999999998,-1.12014,1.3809394137023142e-7,0.10557914028148063,0.1055791402814814,0.9887902155031908,0.10585923302008722,0.10585923302008797,-0.9887303199400722,6,5,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545952,-4.235356405473529,-2.5310693982586088,-1.70428700721492
6,1584,1585,-1.0734675,3,2,3,2,865,721,1.5557499999999997,-1.05791,1.3809394137023142e-7,1.5868649999999995,-1.089025,1.3809394137023142e-7,0.1055791402815047,0.10557914028150393,0.9887902155031859,0.10585923302006313,0.10585923302006237,-0.9887303199400775,7,6,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545888,-4.353979431843572,-2.529265742664576,-1.8247136891789961
7,1872,1873,-1.0423524999999998,3,2,3,2,1009,865,1.5246349999999995,-1.026795,1.3809394137023142e-7,1.5557499999999997,-1.05791,1.3809394137023142e-7,0.10557914028148063,0.1055791402814814,0.9887902155031908,0.10585923302008722,0.10585923302008797,-0.9887303199400722,8,7,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545952,-4.317380043875459,-2.395586210926731,-1.9217938329487279
8,2160,2161,-1.0112375,3,2,3,2,1153,1009,1.4935199999999995,-0.99568,1.3809394137023142e-7,1.5246349999999995,-1.026795,1.3809394137023142e-7,0.10557914028150468,0.10557914028150506,0.9887902155031859,0.10585923302011133,0.1058592330201117,-0.9887303199400671,9,8,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545854,-4.149678217400046,-2.14958268035594,-2.000095537044106
9,2448,2449,-0.9801225,3,2,3,2,1297,1153,1.4624049999999997,-0.964565,1.3809394137023142e-7,1.4935199999999995,-0.99568,1.3809394137023142e-7,0.10557914028152875,0.105579140281528,0.9887902155031809,0.10585923302006313,0.10585923302006237,-0.9887303199400775,10,9,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.96698265725458,-3.8753917050310127,-1.8123114301691707,-2.063080274861842
10,2736,2737,-0.9490075,3,2,3,2,1441,1297,1.4312899999999995,-0.9334499999999999,1.3809394137023142e-7,1.4624049999999997,-0.964565,1.3809394137023142e-7,0.10557914028148062,0.10557914028148102,0.9887902155031909,0.10585923302011133,0.10585923302011171,-0.9887303199400671,11,10,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669826572545936,-3.5177579937069394,-1.404228983599078,-2.1135290101078614
