i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
1,192,193,-1.2186708333333334,3,2,3,2,193,1,1.6905816666666664,-1.1927416666666666,1.3809394137023142e-7,1.7424399999999995,-1.2446,1.3809394137023142e-7,0.10548867445359135,0.1054886744535909,0.9888095262102042,0.10586214215644804,0.1058621421564476,-0.9887296969931145,2,1,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378082,-2.5673137439167015,-1.6505279898022585,-0.9167857541144431
2,576,577,-1.1668124999999998,3,2,3,2,385,193,1.6387233333333329,-1.1408833333333332,1.3809394137023142e-7,1.6905816666666664,-1.1927416666666666,1.3809394137023142e-7,0.10548867445352728,0.10548867445352772,0.9888095262102179,0.10586214215648017,0.10586214215648061,-0.9887296969931075,3,2,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.967014885737829,-3.7576192025029993,-2.4017287735857904,-1.355890428917209
3,960,961,-1.1149541666666667,3,2,3,2,577,385,1.5868649999999995,-1.089025,1.3809394137023142e-7,1.6387233333333329,-1.1408833333333332,1.3809394137023142e-7,0.1054886744535593,0.1054886744535593,0.988809526210211,0.10586214215651232,0.10586214215651231,-0.9887296969931006,4,3,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378154,-4.353278854645379,-2.718209063951231,-1.635069790694148
4,1344,1345,-1.0630958333333331,3,2,3,2,769,577,1.5350066666666664,-1.0371666666666666,1.3809394137023142e-7,1.5868649999999995,-1.089025,1.3809394137023142e-7,0.10548867445359135,0.1054886744535909,0.9888095262102042,0.10586214215644804,0.1058621421564476,-0.9887296969931145,5,4,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378082,-4.502699934286744,-2.6760506095122363,-1.8266493247745075
5,1728,1729,-1.0112375,3,2,3,2,961,769,1.4831483333333328,-0.9853083333333333,1.3809394137023142e-7,1.5350066666666664,-1.0371666666666666,1.3809394137023142e-7,0.10548867445352728,0.10548867445352796,0.9888095262102179,0.10586214215651231,0.10586214215651299,-0.9887296969931006,6,5,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378271,-4.317746458935279,-2.3568016517053216,-1.9609448072299571
6,2112,2113,-0.9593791666666667,3,2,3,2,1153,961,1.4312899999999995,-0.9334499999999999,1.3809394137023142e-7,1.4831483333333328,-0.9853083333333333,1.3809394137023142e-7,0.10548867445359135,0.10548867445359113,0.9888095262102042,0.10586214215651232,0.10586214215651207,-0.9887296969931008,7,6,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.967014885737804,-3.9005836028030263,-1.8454956072005038,-2.0550879956025225
7,2496,2497,-0.9075208333333333,3,2,3,2,1345,1153,1.3794316666666664,-0.8815916666666667,1.3809394137023142e-7,1.4312899999999995,-0.9334499999999999,1.3809394137023142e-7,0.10548867445359134,0.10548867445359111,0.9888095262102042,0.1058621421564802,0.10586214215647995,-0.9887296969931076,8,7,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378065,-3.3353085606790738,-1.2148070981213057,-2.120501462557768
8,2880,2881,-0.8556625,3,2,3,2,1537,1345,1.3275733333333333,-0.8297333333333333,1.3809394137023142e-7,1.3794316666666664,-0.8815916666666667,1.3809394137023142e-7,0.1054886744535593,0.10548867445355885,0.988809526210211,0.10586214215644804,0.1058621421564476,-0.9887296969931145,9,8,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378198,-2.6817407195081384,-0.5164900284631535,-2.165250691044985
9,3264,3265,-0.8038041666666667,3,2,3,2,1729,1537,1.2757149999999997,-0.777875,1.3809394137023142e-7,1.3275733333333333,-0.8297333333333333,1.3809394137023142e-7,0.10548867445352728,0.10548867445352772,0.9888095262102179,0.10586214215648017,0.10586214215648061,-0.9887296969931075,10,9,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.967014885737829,-1.9774920831768943,0.21751831828323223,-2.1950104014601264
10,3648,3649,-0.7519458333333333,3,2,3,2,1921,1729,1.2238566666666664,-0.7260166666666665,1.3809394137023142e-7,1.2757149999999997,-0.777875,1.3809394137023142e-7,0.10548867445355932,0.1054886744535591,0.9888095262102111,0.10586214215648018,0.10586214215647996,-0.9887296969931075,11,10,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378178,-1.2442707418721801,0.9694236406023344,-2.2136943824745146
11,4032,4033,-0.7000875,3,2,3,2,2113,1921,1.171998333333333,-0.6741583333333333,1.3809394137023142e-7,1.2238566666666664,-0.7260166666666665,1.3809394137023142e-7,0.1054886744535593,0.10548867445355953,0.988809526210211,0.10586214215651231,0.10586214215651252,-0.9887296969931006,12,11,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378154,-0.493988267200534,1.7299711627496837,-2.2239594299502174
12,4416,4417,-0.6482291666666666,3,2,3,2,2305,2113,1.12014,-0.6223,1.3809394137023142e-7,1.171998333333333,-0.6741583333333333,1.3809394137023142e-7,0.10548867445359135,0.1054886744535909,0.9888095262102042,0.10586214215644804,0.1058621421564476,-0.9887296969931145,13,12,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378082,0.2669711491449226,2.494562175977191,-2.2275910268322687
13,4800,4801,-0.5963708333333333,3,2,3,2,2497,2305,1.0682816666666664,-0.5704416666666666,1.3809394137023142e-7,1.12014,-0.6223,1.3809394137023142e-7,0.10548867445352728,0.10548867445352772,0.9888095262102179,0.10586214215651232,0.10586214215651278,-0.9887296969931006,14,13,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378271,1.0351993202741812,3.2609752056456793,-2.2257758853714984
14,5184,5185,-0.5445125,3,2,3,2,2689,2497,1.0164233333333332,-0.5185833333333334,1.3809394137023142e-7,1.0682816666666664,-0.5704416666666666,1.3809394137023142e-7,0.10548867445359134,0.10548867445359111,0.9888095262102042,0.1058621421564802,0.10586214215647995,-0.9887296969931076,15,14,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378065,1.808856209271058,4.028140608311549,-2.2192843990404914
15,5568,5569,-0.4926541666666667,3,2,3,2,2881,2689,0.9645649999999998,-0.4667250000000001,1.3809394137023142e-7,1.0164233333333332,-0.5185833333333334,1.3809394137023142e-7,0.1054886744535593,0.10548867445355964,0.988809526210211,0.10586214215651232,0.10586214215651264,-0.9887296969931006,16,15,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9670148857378154,2.5869194044975514,4.795508543700595,-2.2085891392030432
