# row axial thickness
1 -5.4318278345195639e+00 6.1458551584802006e+00
2 -5.4910190299756962e+00 6.1373365368131392e+00
3 -5.7222329305331892e+00 6.1036971080001203e+00
4 -5.6486985174039717e+00 6.1050005195024406e+00
5 -5.7920279987216032e+00 6.0921285900711766e+00
6 -5.9193439725474430e+00 6.1906636881484358e+00
7 -5.9504577106877736e+00 6.3547284245242617e+00
8 -4.8376357497075952e+00 6.1787510212786962e+00
9 -4.9308448258863828e+00 6.1747355187422546e+00
10 -5.0199981283089139e+00 6.1715847881090955e+00
11 -5.2133542779483273e+00 6.1642948139944282e+00
12 -5.2052747457788513e+00 6.1648032490117890e+00
13 -5.2202782842895283e+00 6.1640815692390083e+00
14 -5.4609752929752498e+00 6.1411804720874548e+00
15 -5.3876346918916607e+00 6.1505235145764887e+00
16 -5.5408991179866867e+00 6.1247967818859204e+00
17 -5.7436079279918051e+00 6.5250294282858512e+00
18 -5.8914967444201487e+00 6.4318927867323934e+00
19 -5.8613643129435413e+00 6.4512034173664903e+00
20 -5.8101507668426535e+00 6.0903945923455849e+00
21 -5.9222977050983658e+00 6.1951011266738636e+00
22 -5.9491598635283411e+00 6.3503293476321634e+00
23 -4.3953536429061986e+00 6.2047957719372659e+00
24 -4.3621733578814146e+00 6.2071489316174517e+00
25 -4.4218905477269974e+00 6.2043871273212083e+00
26 -4.5438663771782162e+00 6.1978927834981823e+00
27 -4.7177444498579959e+00 6.1888836613504594e+00
28 -4.7280299638734524e+00 6.1884592009377588e+00
29 -4.9671788869454030e+00 6.1758050811045058e+00
30 -4.9105875516988533e+00 6.1806745381585868e+00
31 -5.3939393473857402e+00 6.6627588518284409e+00
32 -5.3725580660559498e+00 6.6695187444139021e+00
33 -5.4560953405536381e+00 6.6370211495753306e+00
34 -5.5149436497733326e+00 6.6151021001778902e+00
35 -5.6554746143862706e+00 6.5618941073158359e+00
36 -3.6461625093843608e+00 6.2292743868894478e+00
37 -3.6888424071226273e+00 6.2291374800843888e+00
38 -3.9052908511378992e+00 6.2259865569233517e+00
39 -3.8794076073976260e+00 6.2271532305996473e+00
40 -3.9245926936381195e+00 6.2263307085058646e+00
41 -4.1494462177153215e+00 6.2169809065233483e+00
42 -4.0655208097230648e+00 6.2222528744759948e+00
43 -4.2144126147434049e+00 6.2161196511745791e+00
44 -4.2471032230758219e+00 6.2147475005175679e+00
45 -4.4742780097815595e+00 6.2038959315788569e+00
46 -4.7211316929647564e+00 6.1888871740422964e+00
47 -5.0237261899804508e+00 6.7932640015865902e+00
48 -4.9892885518722148e+00 6.8007860990417450e+00
49 -5.0862711173306048e+00 6.7655732507386848e+00
50 -5.1378787030898936e+00 6.7482947981777057e+00
51 -5.2866182041533216e+00 6.6998775721805606e+00
